Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,7.622499943,7.660714149,7.585000038,7.643214226,6.470739841,493729600
05-01-2010,7.664286137,7.699643135,7.616071224,7.656428814,6.481927395,601904800
06-01-2010,7.656428814,7.686786175,7.526785851,7.534643173,6.378826141,552160000
07-01-2010,7.5625,7.571428776,7.466071129,7.520713806,6.367031574,477131200
08-01-2010,7.510714054,7.571428776,7.466429234,7.570713997,6.409361362,447610800
11-01-2010,7.599999905,7.607142925,7.444643021,7.503929138,6.352823257,462229600
12-01-2010,7.471070766,7.491786003,7.372142792,7.418570995,6.280559063,594459600
13-01-2010,7.423929214,7.533214092,7.289286137,7.523213863,6.369148731,605892000
14-01-2010,7.503929138,7.516428947,7.465000153,7.479642868,6.332262039,432894000
15-01-2010,7.533214092,7.557143211,7.352499962,7.354642868,6.226436138,594067600
19-01-2010,7.440357208,7.685357094,7.401429176,7.679999828,6.501884937,730007600
20-01-2010,7.675356865,7.698214054,7.482142925,7.561786175,6.401805878,612152800
21-01-2010,7.574285984,7.61821413,7.40035677,7.431070805,6.291140556,608154400
22-01-2010,7.385000229,7.410714149,7.041429043,7.0625,5.979109287,881767600
25-01-2010,7.232500076,7.310713768,7.149642944,7.252500057,6.13996315,1065699600
26-01-2010,7.35535717,7.632500172,7.235000134,7.355000019,6.226738453,1867110000
27-01-2010,7.387499809,7.520713806,7.126070976,7.424285889,6.28539753,1722568400
28-01-2010,7.318929195,7.339285851,7.096428871,7.117499828,6.025671959,1173502400
29-01-2010,7.181428909,7.221428871,6.794642925,6.859285831,5.807067394,1245952400
01-02-2010,6.870357037,7,6.83214283,6.954642773,5.887798309,749876400
02-02-2010,6.996786118,7.011428833,6.906428814,6.994999886,5.921963215,698342400
03-02-2010,6.970356941,7.150000095,6.943571091,7.115356922,6.02385807,615328000
04-02-2010,7.026071072,7.084642887,6.841785908,6.858929157,5.806766033,757652000
05-02-2010,6.879642963,7,6.816071033,6.980713844,5.909869194,850306800
08-02-2010,6.988928795,7.067142963,6.928571224,6.932857037,5.869352341,478270800
09-02-2010,7.014999866,7.053571224,6.955357075,7.00678587,5.931941986,632886800
10-02-2010,6.996070862,7.021429062,6.937857151,6.968571186,5.899588108,370361600
11-02-2010,6.960000038,7.133928776,6.93071413,7.095356941,6.006925106,550345600
12-02-2010,7.07535696,7.20142889,6.982142925,7.156428814,6.058629036,655468800
16-02-2010,7.212142944,7.274642944,7.197143078,7.264286041,6.149940491,543737600
17-02-2010,7.292500019,7.296785831,7.17357111,7.233929157,6.124240875,436396800
18-02-2010,7.201070786,7.281785965,7.175714016,7.247499943,6.135728836,422825200
19-02-2010,7.209286213,7.257143021,7.182499886,7.202499866,6.097633839,415469600
22-02-2010,7.226428986,7.232142925,7.113928795,7.157856941,6.059837818,390563600
23-02-2010,7.142857075,7.190357208,6.989643097,7.037857056,5.958247185,575094800
24-02-2010,7.079642773,7.19428587,7.065713882,7.166429043,6.067093849,460566400
25-02-2010,7.049285889,7.244999886,7.031785965,7.214285851,6.107610703,665126000
26-02-2010,7.227857113,7.327499866,7.214285851,7.307857037,6.186828136,507460800
01-03-2010,7.348214149,7.482142925,7.337500095,7.463929176,6.318959236,550093600
02-03-2010,7.497499943,7.529643059,7.419285774,7.458929062,6.314725399,566546400
03-03-2010,7.462142944,7.495357037,7.426428795,7.476070881,6.329237938,372052800
04-03-2010,7.474286079,7.532856941,7.451070786,7.52535677,6.37096262,366041200
05-03-2010,7.676428795,7.846428871,7.665357113,7.819643021,6.620105743,899620400
08-03-2010,7.857500076,7.860356808,7.794642925,7.824285984,6.624036789,429889600
09-03-2010,7.796785831,8.035714149,7.781785965,7.965000153,6.743165016,920259200
10-03-2010,7.993928909,8.052857399,7.971428871,8.029999733,6.798193455,596218000
11-03-2010,7.996786118,8.053570747,7.975714207,8.053570747,6.81814909,405700400
12-03-2010,8.12035656,8.133213997,8.0625,8.092857361,6.851409912,416323600
15-03-2010,8.049285889,8.053570747,7.866071224,7.99428606,6.767959595,493502800
16-03-2010,8.006428719,8.034999847,7.946785927,8.01607132,6.786400795,446908000
17-03-2010,8.032142639,8.087499619,7.973928928,8.004285812,6.776424408,450956800
18-03-2010,8.003570557,8.035714149,7.95035696,8.02321434,6.792448521,342109600
19-03-2010,8.028214455,8.044285774,7.901071072,7.9375,6.719882488,559445600
22-03-2010,7.873929024,8.071429253,7.862500191,8.026785851,6.795473099,456419600
23-03-2010,8.058570862,8.170714378,8.003570557,8.155714035,6.904622555,602431200
24-03-2010,8.130000114,8.221428871,8.125356674,8.191785812,6.935162067,597780400
25-03-2010,8.247142792,8.248929024,8.080356598,8.094642639,6.852921009,542284400
26-03-2010,8.176786423,8.283928871,8.162500381,8.246429443,6.981424332,640875200
29-03-2010,8.321429253,8.352499962,8.272143364,8.299642563,7.026472569,540744400
30-03-2010,8.449999809,8.4814291,8.366070747,8.423213959,7.131088257,527310000
31-03-2010,8.410357475,8.450357437,8.373571396,8.392856598,7.105389595,430659600
01-04-2010,8.478928566,8.526070595,8.3125,8.427499771,7.134716988,603145200
05-04-2010,8.39214325,8.518214226,8.384642601,8.517499924,7.210912228,684507600
06-04-2010,8.507143021,8.579999924,8.464285851,8.555000305,7.242660046,447017200
07-04-2010,8.555356979,8.640000343,8.523571014,8.592857361,7.274708271,628502000
08-04-2010,8.587142944,8.626428604,8.501428604,8.569643021,7.255053043,572989200
09-04-2010,8.62250042,8.638929367,8.587857246,8.635356903,7.310688496,334182800
12-04-2010,8.649999619,8.681071281,8.636071205,8.653214455,7.325807095,333026400
13-04-2010,8.637857437,8.67142868,8.611070633,8.658213615,7.330040455,306210800
14-04-2010,8.760000229,8.778928757,8.716786385,8.774642944,7.428608894,404076400
15-04-2010,8.777856827,8.893928528,8.768214226,8.890000343,7.526269913,376784800
16-04-2010,8.87749958,8.969285965,8.73392868,8.83571434,7.480312824,750545600
19-04-2010,8.822500229,8.853214264,8.634642601,8.823928833,7.47033453,566924400
20-04-2010,8.876428604,8.901785851,8.677143097,8.735357285,7.395349026,738326400
21-04-2010,9.242856979,9.294643402,9.133213997,9.257857323,7.837697506,982391200
